Date,Positive Case Count,DOW,New Cases,Cases Last 14 Days,Population,"Cases Per 100,000","Cases Last 14 Days Per 100,000",Location,County,Total Deaths,LTCF Deaths,Non-LTCF Deaths
2020-08-11,283,1,4.0,69.0,78338,361.0,88.0,Alameda,Alameda,,,
2020-08-12,293,2,10.0,78.0,78338,374.0,100.0,Alameda,Alameda,,,
2020-08-13,300,3,7.0,74.0,78338,383.0,94.0,Alameda,Alameda,,,
2020-08-14,308,4,8.0,77.0,78338,393.0,98.0,Alameda,Alameda,,,
2020-08-15,308,5,0.0,75.0,78338,393.0,96.0,Alameda,Alameda,,,
2020-08-16,308,6,0.0,71.0,78338,393.0,91.0,Alameda,Alameda,,,
2020-08-17,320,0,12.0,78.0,78338,408.0,100.0,Alameda,Alameda,,,
2020-08-18,329,1,9.0,82.0,78338,420.0,105.0,Alameda,Alameda,,,
2020-08-19,338,2,9.0,84.0,78338,431.0,107.0,Alameda,Alameda,,,
2020-08-20,343,3,5.0,81.0,78338,438.0,103.0,Alameda,Alameda,,,
2020-08-21,346,4,3.0,77.0,78338,442.0,98.0,Alameda,Alameda,,,
2020-08-22,346,5,0.0,75.0,78338,442.0,96.0,Alameda,Alameda,,,
2020-08-23,347,6,1.0,73.0,78338,443.0,93.0,Alameda,Alameda,,,
2020-08-24,354,0,7.0,75.0,78338,452.0,96.0,Alameda,Alameda,,,
2020-08-25,360,1,6.0,77.0,78338,460.0,98.0,Alameda,Alameda,,,
2020-08-26,364,2,4.0,71.0,78338,465.0,91.0,Alameda,Alameda,,,
2020-08-27,369,3,5.0,69.0,78338,471.0,88.0,Alameda,Alameda,,,
2020-08-28,373,4,4.0,65.0,78338,476.0,83.0,Alameda,Alameda,,,
2020-08-29,373,5,0.0,65.0,78338,476.0,83.0,Alameda,Alameda,,,
2020-08-30,374,6,1.0,66.0,78338,477.0,84.0,Alameda,Alameda,,,
2020-08-31,384,0,10.0,64.0,78338,490.0,82.0,Alameda,Alameda,,,
2020-09-01,389,1,5.0,60.0,78338,497.0,77.0,Alameda,Alameda,,,
2020-09-02,392,2,3.0,54.0,78338,500.0,69.0,Alameda,Alameda,,,
2020-09-03,398,3,6.0,55.0,78338,508.0,70.0,Alameda,Alameda,,,
2020-09-04,404,4,6.0,58.0,78338,516.0,74.0,Alameda,Alameda,,,
2020-09-05,406,5,2.0,60.0,78338,518.0,77.0,Alameda,Alameda,,,
2020-09-06,409,6,3.0,62.0,78338,522.0,79.0,Alameda,Alameda,,,
2020-09-07,410,0,1.0,56.0,78338,523.0,71.0,Alameda,Alameda,,,
2020-09-08,411,1,1.0,51.0,78338,525.0,65.0,Alameda,Alameda,,,
2020-09-09,411,2,0.0,47.0,78338,525.0,60.0,Alameda,Alameda,,,
2020-09-10,415,3,4.0,46.0,78338,530.0,59.0,Alameda,Alameda,,,
2020-09-11,418,4,3.0,45.0,78338,534.0,57.0,Alameda,Alameda,,,
2020-09-12,419,5,1.0,46.0,78338,535.0,59.0,Alameda,Alameda,,,
2020-09-13,420,6,1.0,46.0,78338,536.0,59.0,Alameda,Alameda,,,
2020-09-14,423,0,3.0,39.0,78338,540.0,50.0,Alameda,Alameda,,,
